corner,cap_f,stored_q,returncode,status,selected_bitline,bl_read_min_v,blb_read_min_v,delta_max_v,q_read_min_v,qb_read_min_v,error
tt,5.0,1,0,PASS,BLB,1.799926,0.9531515,0.8468485,1.799998,3.777214e-08,
tt,5.0,0,0,PASS,BL,0.9531515,1.799926,0.8468485,3.777214e-08,1.799998,
tt,10.0,1,0,PASS,BLB,1.799915,1.358019,0.44198099999999996,1.799998,3.777215e-08,
tt,10.0,0,0,PASS,BL,1.358019,1.799915,0.44198099999999996,3.777215e-08,1.799998,
tt,20.0,1,0,PASS,BLB,1.799889,1.574983,0.22501700000000002,1.799998,3.777215e-08,
tt,20.0,0,0,PASS,BL,1.574983,1.799889,0.22501700000000002,3.777215e-08,1.799998,
tt,50.0,1,0,PASS,BLB,1.799933,1.709826,0.09017399999999998,1.799998,3.777216e-08,
tt,50.0,0,0,PASS,BL,1.709826,1.799933,0.09017399999999998,3.777216e-08,1.799998,
ff,5.0,1,0,PASS,BLB,1.799937,0.7335137,1.0664863,1.799977,3.411514e-07,
ff,5.0,0,0,PASS,BL,0.7335137,1.799937,1.0664863,3.411514e-07,1.799977,
ff,10.0,1,0,PASS,BLB,1.799942,1.233471,0.5665290000000001,1.799978,3.411514e-07,
ff,10.0,0,0,PASS,BL,1.233471,1.799942,0.5665290000000001,3.411514e-07,1.799978,
ff,20.0,1,0,PASS,BLB,1.799905,1.508819,0.29118100000000013,1.799978,3.411514e-07,
ff,20.0,0,0,PASS,BL,1.508819,1.799905,0.29118100000000013,3.411514e-07,1.799978,
ff,50.0,1,0,PASS,BLB,1.799941,1.683596,0.11640399999999995,1.799978,3.411514e-07,
ff,50.0,0,0,PASS,BL,1.683596,1.799941,0.11640399999999995,3.411514e-07,1.799978,
ss,5.0,1,0,PASS,BLB,1.799903,1.160158,0.639842,1.8,1.401618e-08,
ss,5.0,0,0,PASS,BL,1.160158,1.799903,0.639842,1.401618e-08,1.8,
ss,10.0,1,0,PASS,BLB,1.799827,1.470895,0.329105,1.8,1.401618e-08,
ss,10.0,0,0,PASS,BL,1.470895,1.799827,0.329105,1.401618e-08,1.8,
ss,20.0,1,0,PASS,BLB,1.799845,1.632379,0.16762100000000002,1.8,1.401619e-08,
ss,20.0,0,0,PASS,BL,1.632379,1.799845,0.16762100000000002,1.401619e-08,1.8,
ss,50.0,1,0,PASS,BLB,1.799938,1.732675,0.06732500000000008,1.8,1.401619e-08,
ss,50.0,0,0,PASS,BL,1.732675,1.799938,0.06732500000000008,1.401619e-08,1.8,
fs,5.0,1,0,PASS,BLB,1.799886,1.128406,0.671594,1.799999,9.874773e-07,
fs,5.0,0,0,PASS,BL,1.128406,1.799886,0.671594,9.874773e-07,1.799999,
fs,10.0,1,0,PASS,BLB,1.799843,1.453912,0.34608799999999995,1.799999,9.874773e-07,
fs,10.0,0,0,PASS,BL,1.453912,1.799843,0.34608799999999995,9.874773e-07,1.799999,
fs,20.0,1,0,PASS,BLB,1.799873,1.622719,0.17728100000000002,1.799999,9.874773e-07,
fs,20.0,0,0,PASS,BL,1.622719,1.799873,0.17728100000000002,9.874773e-07,1.799999,
fs,50.0,1,0,PASS,BLB,1.799941,1.72869,0.07130999999999998,1.799999,9.874773e-07,
fs,50.0,0,0,PASS,BL,1.72869,1.799941,0.07130999999999998,9.874773e-07,1.799999,
sf,5.0,1,0,PASS,BLB,1.799944,0.7645579,1.0354421,1.799911,8.149587e-09,
sf,5.0,0,0,PASS,BL,0.7645579,1.799944,1.0354421,8.149587e-09,1.799911,
sf,10.0,1,0,PASS,BLB,1.799946,1.254601,0.545399,1.799911,8.149613e-09,
sf,10.0,0,0,PASS,BL,1.254601,1.799946,0.545399,8.149614e-09,1.799911,
sf,20.0,1,0,PASS,BLB,1.799914,1.522576,0.2774240000000001,1.799911,8.149625e-09,
sf,20.0,0,0,PASS,BL,1.522576,1.799914,0.2774240000000001,8.149626e-09,1.799911,
sf,50.0,1,0,PASS,BLB,1.799939,1.688869,0.11113100000000009,1.799911,8.149636e-09,
sf,50.0,0,0,PASS,BL,1.688869,1.799939,0.11113100000000009,8.149637e-09,1.799911,
